Date,SARIMA_Forecast,SARIMA_Lower,SARIMA_Upper,XGB_Forecast,XGB_Lower,XGB_Upper
2024-01-01,4.988709227505475,2.992970715313477,6.9844477396974725,5.0000415,4.682904935073975,5.317178034591552
2024-02-01,5.194208849100714,1.997176751140488,8.39124094706094,5.3577085,5.040571904373292,5.674845003890868
2024-03-01,5.966232080540385,2.067724140958138,9.864740020122632,5.8281317,5.5109951259614265,6.145268225479003
2024-04-01,6.198409306854827,1.8491053283937031,10.54771328531595,5.9406004,5.623463845443848,6.257736944961425
2024-05-01,6.394631699315597,1.7127073148840628,11.076556083747132,6.063285,5.746148324203614,6.380421423721191
2024-06-01,6.200758398448111,1.2560016053578904,11.145515191538333,5.998533,5.681396222305421,6.315669321822997
2024-07-01,5.9901005494697985,0.8340511254741649,11.146149973465432,5.5191717,5.2020351650239265,5.836308264541503
2024-08-01,5.7097210744033395,0.3830449978413677,11.03639715096531,5.023078,4.7059414150239265,5.340214514541503
2024-09-01,5.590746018386262,0.12553208640691693,11.055959950365606,4.561905,4.244768357467774,4.879041456985351
2024-10-01,5.401206124097313,-0.1771826693469576,10.979594917541583,4.91323,4.596093392562989,5.230366492080566
2024-11-01,5.278099179036681,-0.39321263833371667,10.949410996407078,5.1796675,4.862530923080567,5.496804022598144
2024-12-01,5.553668980448495,-0.19422024669800653,11.301558207594997,4.950983,4.633846497726563,5.26811959724414
